file,title,doi,country,sample_size,sample_type,collection_device,n_timepoints,n_days,n_nodes,redundancy,software,estimation_packages,network_types_temporal,network_types_contemporaneous,network_types_between_person,centrality_test,visualisation_packages,preregistered_yn,code_declared_available,data_declared_available,limitations,notes
012.txt,Capturing the risk of persisting depressive symptoms: A dynamic network investigation of patients' daily symptom experiences,https://doi.org/10.1016/j.psychres.2018.12.054,Netherlands,Persistent symptoms (n=30) vs Reduced symptoms (n=30),Clinical & health-related,"Palmtop (described as such in Kramer et al., 2014) - a device with PsyMate installed loaned to participants",10.0,18 (spread out over 6 weeks; 3 consecutive days per week),11.0,No,"R, Stata (version 14)",N/A,Yes,No,No,Yes,graph,No,No,No,- Small sample size;- Limited generalizability due to specific patient population;- Potential confounding effects of medication changes,"The study's findings may not generalize to all patients with depression, particularly those who have fully recovered."
013.txt,Network Approach to Understanding Emotion Dynamics in Relation to Childhood Trauma and Genetic Liability to Psychopathology: Replication of a Prospective Experience Sampling Analysis,https://doi.org/10.3389/fpsyg.2017.01908,Belgium,"Low CT (n = 229); Medium CT (n = 258); High CT (n = 201); Low GL ( n = 452); Medium GL (n = 90); High GL (n = 56) - The authors looked at temporal affect data in six networks, by categorizing 3 levels each of genetic liability to psychopathology (GL) and childhood trauma (CT)",Non-clinical (i.e. healthy),"Smartphone; a PsyMate: a ""custom-made electronic medical PDA with a touch screen""",10.0,6.0,6.0,No,"R, Stata (version 14.0)",N/A,Yes,No,No,Yes,qgraph,No,No,No,"- Only a limited set of momentary emotional mental states was included to overcome convergence problems in the analyses.- Negative emotion items were relatively rarely reported by participants compared to a clinical population, and thus subject to floor effects.- Participants were young, mainly students, and living with their parents, so results may not be representative of the overall population.- Network comparability could be biased by differences in means of emotion items and within-person variances.- Lack of specific and valid methodology balancing both type I and type II errors.",I am not sure whether the authors checked for potential redundancy between nodes before running the network model.
014.txt,Between vulnerability and resilience: A network analysis of fluctuations in cognitive risk and protective factors following remission from depression,https://doi.org/10.1016/j.brat.2019.01.007,Belgium,85.0,Clinical & health-related,Smartphone,6.0,7.0,5.0,No,R,mlVAR (0.4),Yes,Yes,Yes,No,qgraph (1.4.4),No,No,No,- Limited sample size;- Potential overlap in resilience and positive affect ratings;- Short duration of ESM data collection,"The paper discusses the conceptual overlap between resilience and positive affect, which may warrant further investigation."
015.txt,Metacognitive Therapy Versus Cognitive Behavioral Therapy: A Network Approach,https://doi.org/10.3389/fpsyg.2018.02382,Norway,CBT treatment (n = 33); MCT treatment (n = 34),Clinical & health-related,N/S,1 / week,"M = 9.4 (every Monday during the course of therapy, which lasted an average of 9.4 weeks)",11.0,No,R,mlvar (0.4) - they cite the package when talking about the mlVAR method but don't explicitly say they use it,Yes,Yes,Yes,No,qgraph,No,No,No,"- The networks were not tested against each other using significance tests due to potential power problems;- The sample size is limited, even though normal for psychotherapy studies;- There are no implemented packages in R to estimate stability and accuracy in longitudinal networks;- Results should be replicated and compared with a validation dataset;- Future replications are needed;- Analyzing psychotherapy data using a network approach is in its early stages;- Differences between treatments could be tested in larger samples;- Items from the BAI may not be the most representative for catastrophic beliefs;- The items chosen for negative metacognitions are not representative for all aspects of metacognitions;- Other aspects of metacognition should also be investigated;- Used a t-1 lag representing a week; other relationships between nodes on other timeframes should be investigated.","The paper did not specify the device used for data collection; there may be confusion regarding the visualization packages used, as they mention ggraph but reference qgraph; unsure about declaration of code availability."
016.txt,A time-series network approach to auditory verbal hallucinations: Examining dynamic interactions using experience sampling methodology,https://doi.org/10.1016/j.schres.2019.10.055,Netherlands,95.0,Clinical & health-related,Smartphone,10.0,6.0,6.0,Yes (statistically checked),R,"mlVAR

qgraph",Yes,Yes,Yes,No,"qgraph

RColorBrewer",No,Yes,No,- Limited generalizability due to convenience sampling;- Single-item measures for AVHs and paranoia may affect reliability;- Fixed time interval assumption was violated.,The study's findings may not apply to individuals with less severe AVHs.
017.txt,Daily dynamic assessment and modelling of intersession processes in ambulatory psychotherapy: A proof of concept study,https://doi.org/10.1080/10503307.2018.1497213,Austria,22.0,Clinical & health-related,Smartphone,1.0,Range: 24-63 (M = 46.9),11.0,No,R,"mlVAR

networktools",Yes,Yes,No,No,qgraph,No,No,No,"- Small sample size relative to time points, limiting generalizability;- Sampling bias due to selection based on data availability;- Participants from different treatment stages; data may not represent whole psychotherapy course;- Gender imbalance with few male participants;- Use of single-item scales for treatment-related emotions may lack psychometric validity;- Daily questionnaires may have influenced ISP frequency and intensity (measurement reactivity).","I am not sure whether the authors checked for redundancy between nodes before running the network model. Additionally, it is unclear if the code used for analysis is publicly available."
018.txt,The Cascade of Stress: A Network Approach to Explore Differential Dynamics in Populations Varying in Risk for Psychosis,https://doi.org/10.1093/schbul/sbx037,"Netherlands, Belgium (as reported in previous articles)",Control network (n = 244); Relative network (n = 165); Psychosis network (n = 245),"Clinical & health-related, Non-clinical (i.e. healthy)",Digital watch; Paper and pen,10.0,5 or 6 (depending on the study),13.0,No,R,"lme4

nlme (3)

qgraph (used to estimate centrality indices)",Yes,No,No,No,"N/S (but probably qgraph, which they say they use to estimate centrality indices)",No,Yes,No,- Variable selection limited to 2 psychosis items;- Medication status not available for all studies;- Group average estimates may obscure individual differences.,"The study combines data from multiple studies, which may introduce variability in results."
019.txt,Longitudinal and personalized networks of eating disorder cognitions and behaviors: Targets for precision intervention a proof of concept study,https://doi.org/10.1002/eat.22952,United States,66.0,Clinical & health-related,Smartphone,4.0,7.0,10.0,No,R,mlVAR (0.4),Yes,Yes,Yes,No,qgraph,No,No,No,- Small sample size;- Few assessment points (28);- Limited generalizability due to sample characteristics,The paper discusses the need for larger sample sizes and more assessment points for future research.
020.txt,Using network analysis for the prediction of treatment dropout in patients with mood and anxiety disorders: A methodological proof-of-concept study,https://doi.org/10.1038/s41598-018-25953-0,Germany,One overall network with all participants (n = 58); Treatment completers (n = 35); Dropouts (n = 23),Clinical & health-related,iPod,4.0,14.0,12.0,Yes (statistically checked),R,mlVAR 0.3.2,Yes,No,No,No,graph (1.3.4),No,No,No,- Small sample size; - High predictor to sample size ratio ('small n large p'); - Assessed treatment expectation with only one item; - Focused on autoregressive models with lag of order 1; - EMA data collection requires significant effort from researchers and patients,I am not certain whether the authors used a formal statistical test to compare centrality estimates between groups.
021.txt,The dynamics in health-related quality of life of patients with stable coronary artery disease were revealed: a network analysis,https://doi.org/10.1016/j.jclinepi.2018.11.022,Netherlands,30.0,Clinical & health-related,iPod (lent to participants),9.0,7.0,8.0,No,R,mlVAR (0.4.1),Yes,Yes,No,No,qgraph (1.5),No,No,No,- Exploratory nature of networks;- Caution in interpreting edges as causal relationships;- Centrality measures may differ across levels;- Item selection may lead to loss of information;- Patient-level networks are not generalizable;- Varying time lags may affect network structure.,The paper discusses the exploratory nature of the network analysis and the limitations associated with it.
022.txt,"A Network Approach to Affect Regulation Dynamics and Personality Trait-Induced

Variations: Extraversion and Neuroticism Moderate Reciprocal Influences between

Affect and Affect Regulation Strategies",https://doi.org/10.1002/per.2109,France,78.0,Non-clinical (i.e. healthy),Smartphone,5.0,14.0,7.0,Yes (statistically checked),R,lmerTEST,Yes,No,No,No,qgraph,No,Yes,Yes,- Limited range of affect regulation strategies examined;- Limited sample size and generalizability;- Analysis strategies may have overstated significance due to methodological choices;- Lack of assessment of affectively salient events,"I am not sure about the estimation packages used for network estimation as they were not clearly specified. Additionally, the high negative correlation between extraversion and neuroticism (r = -0.47) might affect the interpretation of the moderation analyses."
023.txt,Emotion-Network Density in Major Depressive Disorder,https://doi.org/10.1177/2167702614540645,United States,Depressed participants (n = 53); Healthy control participants (n = 53),"Clinical & health-related, Non-clinical (i.e. healthy)",PDA (personal digital assistant),8.0,7 (approximately),11.0,No,N/S,N/A,Yes,No,No,No,N/S,No,No,No,- The MDD group was older than the CTL group;- Positive emotion words captured only medium- or high-arousal positive emotions;- Findings may not generalize to those at risk for or who have recovered from depression.,"The study focuses on individuals currently diagnosed with MDD, which may limit generalizability."
024.txt,Modelling suicide ideation from beep to beep: Application of network analysis to ecological momentary assessment data,https://doi.org/10.1016/j.invent.2019.100292,Germany,74.0,Clinical & health-related,Smartphone,10.0,6.0,7.0,No,R,mlVAR [version not specified],Yes,Yes,Yes,No,q-graph [version not specified],No,No,No,"- The sample included only patients with Major Depression, limiting generalizability to other diagnoses;- Sample consisted of inpatients only, possibly diminishing ecological validity;- The EMA design with ten measurements a day between 8 am and 8 pm might not capture important events occurring at other times;- Important risk factors such as defeat and entrapment were not included;- Only self-reports were used; objective measures were not included;- The design and sampling strategy may not capture the natural course of SI and its risk factors;- The study might be underpowered to detect more subtle dynamic relations;- Connections in the network should be interpreted as indications of potential causality, not definitive evidence.",I was unsure whether the authors checked for redundancy between nodes before running the network model; the paper did not mention preregistration or data/code availability explicitly.
025.txt,The Impact of Treatments for Depression on the Dynamic Network Structure of Mental States: Two Randomized Controlled Trials,https://doi.org/10.1038/srep46523,Netherlands for MBCT RCT (unsure for Imipramine),"Imipramine RCT: Medication (n = 23), Placebo (n =27); Mindfulness RCT: MBCT (n = 57), waiting list control (n = 62)",Clinical & health-related,Digital watch; Paper and pen,10.0,6.0,5.0,Yes (statistically checked),R,nlme,Yes,No,No,No,qgraph,No,"No (code available only for permutation tests, not for network estimation itself)",No,- Differences in severity of depressive symptoms between trials;- Lack of follow-up ESM assessments;,The study suggests that treatments may not significantly change the dynamic network structure of mental states despite reducing depressive symptoms.
026.txt,Reciprocal Associations Between Positive Emotions and Motivation in Daily Life: Network Analyses in Anhedonic Individuals and Healthy Controls,http://dx.doi.org/10.1037/emo0000424,Netherlands,Anhedonia (n = 66); Control (n = 68),"Clinical & health-related, Non-clinical (i.e. healthy)",Smartphone,3.0,30.0,6.0,No,"R, Mplus Version 8","DSEM (Dynamic Structural Equation Modeling Package, in Mplus)",Yes,No,No,No,qgraph (1.4.3),No,No,No,"- Did not include contextual features in the models;- Measures were on average 6 hours apart, may have missed important fluctuations;- Majority of sample was female, may limit generalizability;- Findings only generalizable to individuals with anhedonia","Uncertainty regarding the collection device used (smartphone or computer), and whether the registration in the Dutch Clinical Trial Register counts as pre-registration of hypotheses and methods."
027.txt,Exploring the underlying structure of mental disorders: cross-diagnostic differences and similarities from a network perspective using both a top-down and a bottom-up approach,https://doi.org/10.1017/S0033291715000331,Netherlands & Belgium,Patients with psychosis (n = 263); Patients with depression (n = 129); Healthy comparison subjects (n = 207),"Clinical & health-related, Non-clinical (i.e. healthy)",Digital watch,10.0,5 or 6 (depending on the study),5.0,No,"R, Stata v. 12.1",N/A,Yes,No,No,No,qgraph,No,No,No,- Only three diagnostic groups included;- Limited number of mental states assessed;- Heterogeneity within diagnostic groups.,The study highlights the complexity of mental disorders and suggests a network approach for better understanding.
028.txt,A Temporal Network Approach to Paranoia: A Pilot Study,https://doi.org/10.3389/fpsyg.2020.544565,Spain,23.0,Clinical & health-related,Smartphone,10.0,7.0,5.0,Yes (statistically checked),R,mlVAR (0.4.3),Yes,Yes,Yes,No,qgraph (1.6.3),No,Yes,Yes,"- Low compliance to the ESM protocol, resulting in a small sample size (n = 23); - Use of ESM apps relying on internet access could lead to missed notifications; - Length of the ESM protocol could have influenced the number of dropouts; - Participants with high paranoia may not feel comfortable sharing experiences via an app; - Network models are low dimensional, important variables may have been left out; - Sample consisted of subclinical participants, mean levels of paranoia are low; - Data did not meet normality assumptions; - Uncertainty about robustness of time-series analysis to violations of normality; - Results are useful for generating hypotheses but not sufficient to draw robust conclusions about causality; - Lack of tools to test robustness and accuracy of estimated parameters for time-series data and mlVAR.","I was unsure whether the authors checked for potential redundancy between nodes before running the network model. Also, it is unclear if the study was preregistered."
029.txt,Network approach of mood and functional gastrointestinal symptom dynamics in relation to childhood trauma in patients with irritable bowel syndrome and comorbid panic disorder,https://doi.org/10.1016/j.jpsychores.2020.110261,Netherlands,Low level of childhood trauma group (n = 9); No childhood trauma group (n =15),Clinical & health-related,Palmtop computer,10.0,7.0,10.0,No,"R, Stata",N/A,Yes,No,No,No,qgraph,No,No,Yes,- Small sample size;- No moderate or severe childhood trauma in the sample;- Lower power in the low-trauma group;,The study highlights the need for further research including patients with moderate or high trauma experiences.
030.txt,Dynamic fluctuations of emotional states in adolescents with delayed sleep phase—A longitudinal network modeling approach,https://doi.org/10.1016/j.jad.2020.07.050,Finland,Delayed Sleep Phase/DSP (n = 172); non-DSP group (n = 143),Non-clinical (i.e. healthy),Smartphone,3.0,"minimum 7, up to 20-something",6.0,No,R,mlVAR (N/S),Yes,Yes,Yes,No,qgraph,No,No,No,- DSP based on one diagnostic criterion;- Assessed only once;- Potential for false classifications;- Selective drop out risk due to respondent burden,The study's definition of DSP may not capture the full complexity of the disorder.
031.txt,Social media use and well-being: A prospective experience-sampling study,https://doi.org/10.1016/j.chb.2020.106510,Belgium,98.0,Non-clinical (i.e. healthy),"Smartphone - Specifically androids (not iPhones, due to software constraints)",6.0,14.0,6.0,No,R,mlVAR (0.4.4),Yes,Yes,No,No,qgraph (1.6.4),No,No,No,"- Possible sampling biases due to recruitment methods and inclusion criteria (only Android users); - Results may not generalize to wider population; - Inability to distinguish between different types of SNS usage (passive vs active); - Use of single-item measures due to ESM limitations, affecting psychometric properties; - Possible omission of other important variables; - Did not account for participants' motivations for SNS use; - Statistical assumptions (normality, stationarity) may be violated; robustness unclear; - Inability to evaluate stability and accuracy of network models due to limitations in current methods.",DOI not provided; code and data availability not specified.
032.txt,Virtual reality based cognitive behavioral therapy for paranoia: Effects on mental states and the dynamics among them,https://doi.org/10.1016/j.schres.2020.05.047,Netherlands,Virtual-Reality CBT group ( n = 43); Treatment as usual (n =48),Clinical & health-related,Smartphone,10.0,6-10,5.0,Yes (statistically checked),"R, SPSS",N/S,Yes,No,No,No,qgraph,No,No,No,- Limited variation due to 7-point Likert scale;- Potential volatility of contemporaneous associations not captured due to measurement intervals;- Small sample size may limit statistical power;- Assumption of data missing at random may not hold;,"The study's findings on the interplay between mental states and paranoia may vary among individuals, suggesting a need for personalized approaches in treatment."
033.txt,Comorbidity between depression and anxiety: Assessing the role of bridge mental states in dynamic psychological networks,https://doi.org/10.1186/s12916-020-01738-z,Netherlands,"Comorbid depresion and anxiety group (n = 143); 
Depressive group (n = 40); 
Anxiety group (n= 37)",Clinical & health-related,Smartphone,5.0,14.0,7.0,Yes (statistically checked),"R, Mplus",,Yes,No,No,Yes,qgraph,Yes - for the specific study reported in the article,Yes,No,"- The design did not allow for investigation of bridge symptoms during active development of comorbidity;- Potential statistical power issues, especially in single disorder groups with smaller sample sizes;- The bridge mental states may only be discernible at the individual level, not group level;- The timescale of measurement may not align with the timescale of symptom dynamics;- The VAR model may be limited in capturing symptom dynamics or transitions between phases;- The presence of unmeasured confounders limits causal interpretations of the findings",I'm not sure whether 'ggraph' or 'qgraph' was used as the visualization package due to inconsistencies in the references.
034.txt,Within-person networks of clinical features of social anxiety disorder during cognitive and interpersonal therapy,https://doi.org/10.1016/j.janxdis.2020.102312,Norway,60.0,Clinical & health-related,N/S,2 / week,10 weeks,6.0,No,R,mlVAR(0.3.2),Yes,Yes,Yes,No,qgraph,No,Yes,No,- Limited number of repeated observations per patient;- Exploratory nature increases risk for false positives;- Centrality measures may not reflect psychological relationships;- Limited generalizability due to sample characteristics.,"The paper does not specify the availability of the code or data, which may be important for replication."
035.txt,"Causal Factors of Anxiety and Depression in College Students: Longitudinal Ecological Momentary Assessment and Causal Analysis Using Peter and Clark Momentary Conditional

Independence",https://doi.org/10.2196/16684,United States,Cohort 1 (n = 105); Cohort 2 (replication cohort) (n = 113),Non-clinical (i.e. healthy),Smartphone,N/A (1 / week),40.0,4.0,No (model handles overlap well),"R, Python","Tigramite (4.0.0), a python software package for causal time series analysis",Yes,Yes,No,No,qgraph2,No,No,No,"- Weekly sampling may not capture rapid changes in mental health metrics; - Lag of 1 week may not be optimal for detecting causal relationships; - Limited number of questions may restrict overarching implications; - Use of PHQ-4 questions covering last 2 weeks may be suboptimal for weekly sampling; - Underestimation of causal influence magnitude due to sampling frequency and question timeframe; - Did not investigate moderating factors such as gender, socioeconomic status, and first-generation college student status; - Increasing sampling frequency could increase participant burden and decrease retention.",I am unsure whether the authors checked for potential redundancy between nodes before running the network model.
036.txt,Symptom-network dynamics in irritable bowel syndrome with comorbid panic disorder using electronic momentary assessment: A randomized controlled trial of escitalopram vs. placebo,https://doi.org/10.1016/j.jpsychores.2020.110351,Netherlands,Placebo group (n = 9); Treatment group (n = 5),Clinical & health-related,Palmtop computer,10.0,"7 (at three assessment points: at baseline, 3 months after intervention, and 6 months after)",10.0,No,"R, Stata",N/A,Yes,No,No,No,qgraph,No,No,No,- Small sample size;- Imbalance in sample size between groups;- High test burden of ESM;,The study's findings may not be generalizable to a broader IBS population.
037.txt,Network dynamics of momentary affect states and future course of psychopathology in adolescents,https://doi.org/10.1371/journal.pone.0247458,Belgium,Stable symptom levels (n = 81); Increasing symptom levels( n = 78),Non-clinical (i.e. healthy),Psymate device,10.0,6.0,6.0,Yes (statistically checked),R,nlme,Yes,No,No,Yes,qgraph,No,Yes,No,"- Data came from a twin sample, potentially introducing shared hereditary effects that were not addressed;- Sample was almost exclusively Caucasian, limiting generalizability;- Inclusion of emerging adults along with adolescents may affect generalizability;- Methodological decisions may have impacted results (selection of 50% with lowest happy childhood experiences, division into tertiles);- Possible exclusion of important affective experiences due to selection criteria for ESM items;- Use of SCL-90 total score may have averaged out changes in specific symptom domains;- Conservative but arbitrary threshold for differences in within-person SDs;- Simplification of random effects covariance structure;- Only two time points were assessed, limiting the developmental trajectory captured;- Analyses at group level prevent estimation of individual-level effects.","I was slightly unsure about the sample type, as participants were adolescents at increased risk but not diagnosed with mental disorders."
038.txt,Subjectifying the Personality State: Theoretical Underpinnings and an Empirical Example,https://doi.org/10.1002/per.2278,Israel,52.0,Non-clinical (i.e. healthy),N/S,4.0,15.0,9.0,Yes (statistically checked),R,graphicalVAR (0.2.2),Yes,Yes,Yes,No,qgraph (1.62),No,Yes,Yes,- Moderate reliability of MSMQ modes;- Limited sample size and number of assessments;- Use of only three to four items per mode;,The study highlights the importance of dynamic state-like manifestations of personality and suggests further research into the validation of personality states as cohesive organizational units.
039.txt,Group and longitudinal intra-individual networks of eating disorder symptoms in adolescents and young adults at-risk for an eating disorder,https://doi.org/10.1016/j.brat.2020.103731,United States,Pooled sample (n = 1272); Treatment conditions: Control condition( n = 542); Body dissonance condition (n = 495); Expressive writing condition (n = 119); Healthy weight condition (n = 116),Non-clinical (i.e. healthy),N/A - (structured interviews),1 / month,48.0,8.0,No,R,mlVAR 0.4,Yes,Yes,Yes,No,qgraph,No,No,No,"- Only 50 individual networks were created, which may be a small sample size;- Data was collected retrospectively and may contain recall bias error;- Data was collected over three years during an intervention, so assumption of stationarity may be violated;- Impossible to determine if individual networks are heterogeneous due to individual differences or prevention condition;- Cannot make causal claims as the study is not experimental;- Some models included only three nodes due to high heterogeneity of symptom endorsement;- Time lag was four weeks, which is longer than traditionally used in temporal networks;- Did not test if symptoms predicted onset of clinical eating disorders.","I was unsure about the data collection device used, as the paper does not specify whether 'paper and pen' or 'computer' was used for the interviews."
040.txt,Emotion Network Analysis During COVID-19 Quarantine ‐ A Longitudinal Study,https://doi.org/10.3389/fpsyg.2020.559572,Spain,Higher negative moods (deteriorating) (n = 99); Lower negative moods (improving) (n = 89),Non-clinical (i.e. healthy),N/S,1.0,Unclear; authors say both 2 weeks and 20 days,30.0,No,R,mlVAR,Yes,No,No,No,qgraph,No,No,No,- High attrition when comparing baseline and longitudinal data;- Did not perform group classification based on gender or work status;- Generalizability of findings should be considered with caution.,The datasets presented in this article are not readily available for public use.
041.txt,State loneliness is associated with emotional hypervigilance in daily life: A network analysis,https://doi.org/10.1016/j.paid.2020.110154,China,211.0,Non-clinical (i.e. healthy),N/S,5.0,13.0,8.0,No,R,mlVAR (0.4.4),Yes,Yes,Yes,No,N/S,No,No,No,"- Participants were not screened for neurological or psychiatric disorders, which may affect generalizability due to potential confounding effects;- Limited number of variables used may not have captured the full emotional process;- Did not measure social interactions and contexts, so cannot examine their influence on state loneliness and affective dynamics;- The stationary assumption of variables for multi-level VAR modeling might not hold;- Cannot evaluate accuracy and stability of network models as available methods apply only to cross-sectional data;- Connections estimated are based on observational data; without experimental design can only indicate potential causal relations",I am not sure about the software used for network visualisation; the paper mentions the Fruchterman-Reingold algorithm but does not specify the package.
