file,field,ground_truth,prediction
031.txt,notes,DOI not provided; code and data availability not specified.,The paper does not explicitly mention preregistration. Code and data are declared available in supplementary materials. The study used ESM and network analysis to model temporal and contemporaneous relationships between SNS use and psychological constructs.
032.txt,sample_size,Virtual-Reality CBT group ( n = 43); Treatment as usual (n =48),91 participants
032.txt,collection_device,Smartphone,Psymate
032.txt,estimation_packages,N/S,glmnet 4.1-3
032.txt,network_types_contemporaneous,No,"temporal network, contemporaneous network"
032.txt,preregistered_yn,No,1
032.txt,code_declared_available,No,1
032.txt,data_declared_available,No,1
033.txt,redundancy,Yes (statistically checked),0
033.txt,estimation_packages,nan,"Mplus 8.3, qgraph 1.6.9, MplusAutomation"
033.txt,centrality_test,Yes,0
033.txt,notes,I'm not sure whether 'ggraph' or 'qgraph' was used as the visualization package due to inconsistencies in the references.,"Data are not freely available in a public repository but can be requested via the NESDA Data Access Committee. The study used a multilevel VAR model with Bayesian estimation, which is computationally intensive and may not capture all dynamic relationships."
034.txt,collection_device,N/S,Paper and pen
034.txt,centrality_test,No,1
034.txt,visualisation_packages,qgraph,N/S
034.txt,data_declared_available,No,1
034.txt,notes,"The paper does not specify the availability of the code or data, which may be important for replication.","The paper does not explicitly state whether the study was preregistered. Code and data are declared available in the supplemental material, but the specific repositories or links are not provided in the main text. The centrality measures used are adapted from social network theory, which may not fully capture the dynamics of psychological networks."
035.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
035.txt,visualisation_packages,qgraph2,qgraph
035.txt,code_declared_available,No,1
035.txt,data_declared_available,No,1
035.txt,notes,I am unsure whether the authors checked for potential redundancy between nodes before running the network model.,"The paper does not explicitly mention preregistration. Code and data availability are declared in the paper, but supplementary materials or repositories are not directly linked in the provided text. The authors used Tigramite for PCMCI estimation and qgraph for visualization."
036.txt,sample_size,Placebo group (n = 9); Treatment group (n = 5),14 participants
036.txt,estimation_packages,nan,Stata mixed command
036.txt,network_types_temporal,Yes,contemporaneous network
036.txt,network_types_contemporaneous,No,contemporaneous network
036.txt,centrality_test,No,1
036.txt,notes,The study's findings may not be generalizable to a broader IBS population.,"The paper does not explicitly state whether code or data are publicly available. The study used RCT data from a previously published trial, and while the analysis was conducted using Stata, the visualization was done using R's qgraph package. The authors mention that the data were collected via ESM and analyzed using multilevel linear regression, but do not specify whether code or data are available for replication. The preregistration status is not mentioned in the paper."
037.txt,sample_size,Stable symptom levels (n = 81); Increasing symptom levels( n = 78),159 participants
037.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
037.txt,redundancy,Yes (statistically checked),0
037.txt,notes,"I was slightly unsure about the sample type, as participants were adolescents at increased risk but not diagnosed with mental disorders.","The paper does not explicitly state whether it was preregistered. The code is declared available in the supplementary materials, but the dataset is not publicly available due to privacy concerns under European law."
038.txt,collection_device,N/S,Computer
038.txt,n_nodes,9.0,11
038.txt,redundancy,Yes (statistically checked),0
038.txt,network_types_between_person,Yes,"temporal network, contemporaneous network"
038.txt,centrality_test,No,1
038.txt,notes,The study highlights the importance of dynamic state-like manifestations of personality and suggests further research into the validation of personality states as cohesive organizational units.,The study was not preregistered due to its exploratory nature. The authors declare that the code and data are available via OSF (https://osf.io/jkxzn/).
039.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
039.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subject network"
039.txt,centrality_test,No,1
039.txt,code_declared_available,No,1
039.txt,data_declared_available,No,1
039.txt,notes,"I was unsure about the data collection device used, as the paper does not specify whether 'paper and pen' or 'computer' was used for the interviews.","The paper does not explicitly state whether the study was preregistered. The code and data are declared available in the supplementary materials, but the specific repository or link is not provided in the text. The individual networks were computed on a subset of 50 participants, which may limit generalizability."
040.txt,sample_size,Higher negative moods (deteriorating) (n = 99); Lower negative moods (improving) (n = 89),187 participants
040.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
040.txt,collection_device,N/S,Computer
040.txt,n_timepoints,1.0,daily
040.txt,n_days,Unclear; authors say both 2 weeks and 20 days,20 days
040.txt,notes,The datasets presented in this article are not readily available for public use.,"The paper does not mention preregistration. Code and data availability are not explicitly stated as publicly available, but the authors provide contact information for data access. The study used R packages mIVAR and qgraph for network estimation and visualization."
041.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
041.txt,collection_device,N/S,Smartphone
041.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subject network"
041.txt,centrality_test,No,1
041.txt,visualisation_packages,N/S,qgraph
041.txt,code_declared_available,No,1
041.txt,data_declared_available,No,1
042.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
042.txt,n_nodes,15.0,12
042.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subject network"
042.txt,centrality_test,No,1
042.txt,visualisation_packages,N/S,qgraph
042.txt,code_declared_available,No,1
042.txt,notes,The paper does not clarify the availability of the code used for analysis.,"The paper does not mention preregistration. Code is declared available on request, but data availability is not explicitly stated as publicly accessible. The study used a novel network analysis approach with EMA data."
043.txt,n_nodes,11.0,14
043.txt,centrality_test,No,1
043.txt,code_declared_available,No,1
043.txt,notes,No additional notes.,The paper does not mention preregistration. Data and code are available upon request or via Mendeley Data.
044.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
044.txt,redundancy,Yes (statistically checked),0
044.txt,network_types_between_person,Yes,"temporal network, contemporaneous network"
044.txt,centrality_test,No,1
044.txt,data_declared_available,No,1
044.txt,notes,"The study may have limitations regarding the accuracy of self-reported measures, particularly in relation to callousness.","The paper does not explicitly state whether the study was preregistered. However, the authors mention that analyses were conducted using a tuning parameter to avoid Type I error, which suggests methodological rigor. The code and data are declared available, but supplementary materials are restricted to authorized users."
